area,majoraxislength,minoraxislength,eccentricity,convexarea,equivdiameter,extent,perimeter,roundness,aspectration,class,clusters
6374,129.577,63.762,0.871,6476,90.087,0.662,314.656,0.809,2.032,jasmine,3
6946,136.304,65.738,0.876,7115,94.042,0.594,338.782,0.761,2.073,jasmine,1
5786,125.555,59.626,0.88,5945,85.831,0.623,307.304,0.77,2.106,jasmine,3
5896,127.014,59.843,0.882,6092,86.643,0.61,309.264,0.775,2.122,jasmine,3
6082,129.098,60.416,0.884,6204,87.999,0.661,308.106,0.805,2.137,jasmine,3
5623,125.244,58.184,0.886,5786,84.613,0.566,303.047,0.769,2.153,jasmine,3
5642,125.867,58.212,0.887,5759,84.756,0.64,301.902,0.778,2.162,jasmine,3
6063,131.292,60.178,0.889,6203,87.862,0.789,313.372,0.776,2.182,jasmine,3
5781,128.289,58.471,0.89,5954,85.794,0.674,316.756,0.724,2.194,jasmine,3
6332,135.249,61.312,0.891,6528,89.789,0.58,328.799,0.736,2.206,jasmine,3
5595,126.292,57.238,0.891,5745,84.402,0.621,303.285,0.764,2.206,jasmine,3
5762,128.482,58.165,0.892,5932,85.653,0.66,312.678,0.741,2.209,jasmine,3
5580,127.105,57.264,0.893,5773,84.289,0.67,311.868,0.721,2.22,jasmine,3
5753,127.929,57.618,0.893,5889,85.586,0.639,310.522,0.75,2.22,jasmine,3
5471,125.838,56.656,0.893,5769,83.462,0.566,322.299,0.662,2.221,jasmine,3
5576,126.644,56.985,0.893,5689,84.259,0.57,302.164,0.767,2.222,jasmine,3
5349,124.45,55.954,0.893,5464,82.526,0.67,298.048,0.757,2.224,jasmine,3
5350,124.824,55.74,0.895,5474,82.534,0.605,294.808,0.774,2.239,jasmine,3
5526,127.51,56.608,0.896,5626,83.88,0.527,302.131,0.761,2.253,jasmine,3
6083,133.627,59.123,0.897,6219,88.006,0.674,317.226,0.76,2.26,jasmine,3
5250,124.281,54.811,0.897,5332,81.759,0.542,291.454,0.777,2.267,jasmine,3
5347,125.397,55.302,0.898,5497,82.511,0.565,299.788,0.748,2.268,jasmine,3
5985,132.79,58.556,0.898,6140,87.295,0.677,316.69,0.75,2.268,jasmine,3
5667,129.074,56.912,0.898,5791,84.944,0.643,305.872,0.761,2.268,jasmine,3
5555,129.081,56.882,0.898,5787,84.1,0.526,321.58,0.675,2.269,jasmine,3
6776,141.124,62.175,0.898,6943,92.884,0.579,337.028,0.75,2.27,jasmine,1
6213,135.12,59.314,0.898,6370,88.942,0.599,319.883,0.763,2.278,jasmine,3
5680,128.631,56.407,0.899,5859,85.041,0.641,319.702,0.698,2.28,jasmine,3
5259,125.164,54.671,0.9,5435,81.829,0.642,298.057,0.744,2.289,jasmine,3
5442,126.81,55.355,0.9,5528,83.24,0.792,297.395,0.773,2.291,jasmine,3
5256,124.904,54.456,0.9,5353,81.806,0.592,292.906,0.77,2.294,jasmine,3
5374,126.478,55.086,0.9,5526,82.719,0.538,300.022,0.75,2.296,jasmine,3
6136,134.461,58.546,0.9,6341,88.389,0.563,346.308,0.643,2.297,jasmine,3
5228,124.515,54.215,0.9,5366,81.587,0.714,295.253,0.754,2.297,jasmine,3
6083,134.828,58.572,0.901,6201,88.006,0.536,317.671,0.757,2.302,jasmine,3
5124,124.94,54.249,0.901,5391,80.772,0.538,308.355,0.677,2.303,jasmine,3
6171,135.86,58.81,0.901,6380,88.641,0.737,321.246,0.751,2.31,jasmine,3
6623,140.406,60.777,0.901,6811,91.83,0.559,341.702,0.713,2.31,jasmine,1
5862,133.244,57.59,0.902,6053,86.393,0.546,322.15,0.71,2.314,jasmine,3
5791,131.629,56.842,0.902,5938,85.868,0.804,316.987,0.724,2.316,jasmine,3
5455,128.215,55.335,0.902,5627,83.34,0.735,306.914,0.728,2.317,jasmine,3
5555,129.021,55.632,0.902,5733,84.1,0.75,305.326,0.749,2.319,jasmine,3
6375,138.038,59.498,0.902,6542,90.094,0.7,331.535,0.729,2.32,jasmine,3
5267,126.315,54.412,0.902,5382,81.891,0.851,296.211,0.754,2.321,jasmine,3
6381,139.092,59.902,0.903,6651,90.136,0.538,339.413,0.696,2.322,jasmine,3
5633,130.262,55.96,0.903,5756,84.689,0.683,305.169,0.76,2.328,jasmine,3
5263,125.98,54.105,0.903,5381,81.86,0.579,292.518,0.773,2.328,jasmine,3
5447,129.08,55.395,0.903,5651,83.279,0.665,310.785,0.709,2.33,jasmine,3
5559,130.06,55.813,0.903,5696,84.13,0.811,307.947,0.737,2.33,jasmine,3
6717,143.912,61.674,0.904,6988,92.479,0.707,353.285,0.676,2.333,jasmine,1
5086,124.626,53.367,0.904,5205,80.472,0.635,293.409,0.742,2.335,jasmine,3
5427,128.066,54.832,0.904,5557,83.126,0.585,300.597,0.755,2.336,jasmine,3
5601,130.438,55.818,0.904,5752,84.448,0.676,308.667,0.739,2.337,jasmine,3
5230,125.623,53.741,0.904,5349,81.603,0.845,294.789,0.756,2.338,jasmine,3
6601,141.773,60.632,0.904,6832,91.677,0.738,347.364,0.687,2.338,jasmine,1
5369,127.299,54.433,0.904,5576,82.68,0.616,310.778,0.699,2.339,jasmine,3
6659,142.347,60.866,0.904,6882,92.079,0.558,353.032,0.671,2.339,jasmine,1
5068,124.235,52.999,0.904,5159,80.329,0.533,288.12,0.767,2.344,jasmine,3
5229,125.565,53.477,0.905,5350,81.595,0.578,292.22,0.77,2.348,jasmine,3
5204,125.586,53.41,0.905,5302,81.4,0.576,292.196,0.766,2.351,jasmine,3
5172,125.396,53.302,0.905,5331,81.149,0.561,305.701,0.695,2.353,jasmine,3
5910,134.232,57.054,0.905,6093,86.746,0.531,321.441,0.719,2.353,jasmine,3
6829,144.907,61.565,0.905,7092,93.247,0.575,357.414,0.672,2.354,jasmine,1
5497,129.761,55.037,0.906,5686,83.66,0.646,307.543,0.73,2.358,jasmine,3
5230,127.016,53.863,0.906,5412,81.603,0.741,297.081,0.745,2.358,jasmine,3
6349,139.971,59.254,0.906,6537,89.91,0.785,334.743,0.712,2.362,jasmine,3
5655,130.922,55.395,0.906,5756,84.854,0.748,304.449,0.767,2.363,jasmine,3
7074,147.139,62.215,0.906,7238,94.905,0.551,346.714,0.739,2.365,jasmine,1
5973,135.268,57.179,0.906,6180,87.207,0.54,322.3,0.723,2.366,jasmine,3
7022,147.429,62.305,0.906,7257,94.555,0.581,362.021,0.673,2.366,jasmine,1
7112,147.891,62.466,0.906,7276,95.159,0.538,352.718,0.718,2.368,jasmine,1
5793,133.595,56.421,0.906,5930,85.883,0.766,311.85,0.749,2.368,jasmine,3
6472,140.428,59.232,0.907,6709,90.777,0.732,348.085,0.671,2.371,jasmine,1
6785,144.359,60.842,0.907,6981,92.946,0.536,342.257,0.728,2.373,jasmine,1
5673,132.482,55.724,0.907,5831,84.989,0.591,313.011,0.728,2.377,jasmine,3
5463,129.186,54.303,0.907,5576,83.401,0.735,300.885,0.758,2.379,jasmine,3
6264,139.18,58.454,0.908,6497,89.306,0.571,330.709,0.72,2.381,jasmine,3
6067,136.615,57.373,0.908,6214,87.891,0.563,320.902,0.74,2.381,jasmine,3
5709,132.696,55.686,0.908,5834,85.258,0.575,309.712,0.748,2.383,jasmine,3
6230,138.21,57.994,0.908,6322,89.063,0.839,320.105,0.764,2.383,jasmine,3
5771,134.285,56.324,0.908,5929,85.72,0.678,312.835,0.741,2.384,jasmine,3
6003,135.942,57.019,0.908,6112,87.426,0.62,316.558,0.753,2.384,jasmine,3
6290,139.015,58.286,0.908,6446,89.491,0.672,322.198,0.761,2.385,jasmine,3
6890,146.177,61.253,0.908,7052,93.662,0.578,343.917,0.732,2.386,jasmine,1
5790,133.463,55.917,0.908,5986,85.861,0.719,315.483,0.731,2.387,jasmine,3
5807,133.882,56.005,0.908,5966,85.987,0.704,316.194,0.73,2.391,jasmine,3
5331,128.689,53.819,0.908,5471,82.387,0.659,303.102,0.729,2.391,jasmine,3
5465,130.274,54.481,0.908,5615,83.416,0.607,306.907,0.729,2.391,jasmine,3
6125,137.424,57.432,0.908,6288,88.31,0.677,323.587,0.735,2.393,jasmine,3
6083,137.996,57.666,0.909,6262,88.006,0.653,324.563,0.726,2.393,jasmine,3
6121,137.893,57.613,0.909,6234,88.281,0.754,322.073,0.742,2.393,jasmine,3
5040,125.264,52.325,0.909,5188,80.107,0.574,291.302,0.746,2.394,jasmine,3
5301,128.002,53.438,0.909,5416,82.155,0.732,299.091,0.745,2.395,jasmine,3
5457,130.446,54.426,0.909,5540,83.355,0.87,299.924,0.762,2.397,jasmine,3
5720,132.756,55.373,0.909,5855,85.34,0.633,309.826,0.749,2.397,jasmine,3
6987,146.696,61.181,0.909,7242,94.319,0.562,375.651,0.622,2.398,jasmine,1
5324,129.038,53.809,0.909,5458,82.333,0.583,300.837,0.739,2.398,jasmine,3
5533,130.83,54.53,0.909,5682,83.934,0.655,307.965,0.733,2.399,jasmine,3
5097,126.278,52.614,0.909,5252,80.559,0.734,299.67,0.713,2.4,jasmine,3
5007,124.725,51.907,0.909,5145,79.844,0.795,291.523,0.74,2.403,jasmine,3
5658,133.016,55.349,0.909,5827,84.876,0.746,312.248,0.729,2.403,jasmine,3
5454,130.7,54.375,0.909,5624,83.332,0.554,311.871,0.705,2.404,jasmine,3
5259,127.652,53.092,0.909,5372,81.829,0.653,297.14,0.748,2.404,jasmine,3
6212,140.383,58.324,0.91,6405,88.935,0.667,336.803,0.688,2.407,jasmine,3
